,movie_id,title,year_of_production,release_date,runtime,genres,directors,writers,actors,plot,languages,countries_of_origin,awards,boxoffice,metascore,imdb_votes,imdb_rating
0,tt0849437,Duel of Legends,2020,29 Aug 2020,N/A,"Action, Drama, Sport",Hector Echavarria,"Brad Bode, Fuad C'Amanero, Hector Echavarria","Cary-Hiroyuki Tagawa, Quinton 'Rampage' Jackson, Hector Echavarria","1967 China, A young boy (Dax) is left to survive on his own in the middle of no were, after his missionary parents were murdered by rebels. He is found and Raised by a Shawling Temple Monk and becomes skilled in Martial arts. 25 Year",English,United States,N/A,N/A,N/A,48,6.1
1,tt0926132,Road to Red,2020,03 Jan 2020,120 min,"Action, Adventure, Horror",Tito da Costa,"Larry Leahy, Tito da Costa","Sean Gray, Chris Blasman, Renee Dorian",A surf-skate action-thriller about five best friends who set out on a road trip that quickly turns into an epic battle for survival.,English,"United States, Portugal",N/A,N/A,N/A,639,3.8
2,tt0983946,Fantasy Island,2020,14 Feb 2020,109 min,"Fantasy, Horror, Mystery",Jeff Wadlow,"Jeff Wadlow, Christopher Roach, Jillian Jacobs","Michael Peña, Maggie Q, Lucy Hale","When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",English,United States,5 nominations,27309289,22,48315,4.9
3,tt10011228,Hunted,2020,14 Jan 2021,87 min,"Action, Thriller",Vincent Paronnaud,"Vincent Paronnaud, Léa Pernollet, Stephen Shields","Lucie Debay, Arieh Worthalter, Ciaran O'Brien","""The company of wolves is better than that of man."" Once upon a frenzied time, Woman meets Man. Woman dances with Man. Man kisses Woman. Man grips Woman. Woman escapes Man. Man chases Woman - nothing new. Or is there?",English,"Belgium, France, Ireland",2 nominations,N/A,47,2049,5.3
4,tt10022990,Seeru,2020,07 Feb 2020,123 min,"Action, Drama","Rathina Shiva, Sami Rajalingam",Rathina Shiva,"Jiiva, Navdeep, Riya Suman",A guy from a small-town takes on a ruthless criminal lawyer for his friend and sister(s).,Tamil,India,N/A,N/A,N/A,324,5.4
5,tt10044182,Block Z,2020,13 Mar 2020,101 min,"Action, Horror, Thriller",Mikhail Red,"Mixkaela Villalon, Mikhail Red","Joshua Garcia, Julia Barretto, Ian Veneracion","At a quarantined university, a disparate group of students must band together if they are going to survive during a deadly viral infection outbreak.","Tagalog, Filipino",Philippines,1 win & 6 nominations,N/A,N/A,272,5.6
6,tt10059518,Unhinged,2020,21 Aug 2020,90 min,"Action, Thriller",Derrick Borte,Carl Ellsworth,"Russell Crowe, Caren Pistorius, Gabriel Bateman","After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",English,"United Kingdom, United States",1 nomination,20831465,40,63209,6.0
7,tt10082520,Range of Sniper,2020,07 Jun 2020,45 min,"Action, Drama, Thriller",Achyut Prashast Singh,Achyut Prashast Singh,Achyut Prashast Singh,A young man starts to prank his masked archenemy with a fake sniper gun and runs into trouble when a man believing him to be an actual sniper assigns him a job.,None,India,N/A,N/A,N/A,N/A,N/A
8,tt10092752,Earth and Blood,2020,17 Apr 2020,80 min,"Action, Crime, Drama",Julien Leclercq,"Julien Leclercq, Jérémie Guez, Matthieu Serveau","Sami Bouajila, Eriq Ebouaney, Samy Seghir","Saïd owns a sawmill deep in the woods, which he decides to sell. Little does he know that one of his apprentices was cornered by his brother and forced to hide a large amount of cocaine inside the factory.",French,"France, Belgium",N/A,N/A,N/A,2546,5.2
9,tt10096114,The Glint of Darkness: Revolution,2020,24 Dec 2020,51 min,"Action, Crime, Mystery",Shaarath Vihari,Shaarath Vihari,"Shaarath Vihari, Saikumar Guttikonda, Brinda Shivram","After the mysterious death of Heena Siddiqui, an investigative journalist at Global Post News, her colleague Nick decides to take her investigation forward with help from his long-time friend Sasha, where they encounter incredibly po",English,"India, United States",N/A,N/A,N/A,28,8.4
