,name,popularity
0,Bejoy Nambiar,0.6
1,Anjali Nair,2.744
2,Kartik R. Iyer,0.6
3,Lior Chefetz,0.6
4,Joe Swanson,0.98
5,Devon Rose,
6,Yue Song,3.038
7,Ku Xing-Zhe,
8,Dirk Blackman,0.785
9,Duncan Kennedy,1.935
10,Donna Powers,1.4
11,Guang Cheng,1.38
12,Ge Wu,0.6
13,Hemanth Seervi,
14,Won-sub Choi,
15,Jung-Ryeol Sin,
16,Mavrick Vo,1.052
17,Adam Egypt Mortimer,1.4
18,Luke Passmore,0.6
19,Rui Constantino,0.6
20,Sandra Ramirez,0.6
21,Fito Rivera,0.6
22,Valeska Rivera,
23,Steve Hasse,0.6
24,Jason Hiaeshutter,
25,W Lee Wray,
26,Jake Allyn,3.276
27,David Barraza,0.6
28,Sanjay Prajapati,
29,Satish Vegesna,0.6
30,Tony Watt,1.4
31,Il Cho,0.6
32,Matt Naylor,0.6
33,Bahaish Kapoor,0.6
34,Yash Thakur,
35,Christopher Nolan,12.965
36,CJ Walley,
37,Darius Westmoreland,
38,Deloris Westmoreland,
39,Chris O'Neill,0.6
40,Omobolaji Ogungbe,
41,Spencer T. Folmar,0.6
42,Yomi Alvin,0.6
43,Charles Granville,0.6
44,Tsukasa Inaba,0.6
45,Georgina Okoko Edime,
46,Girish Malik,0.6
47,Bharti Jakhar,0.6
48,Humayoon Shams Khan,0.6
49,James Balsamo,0.986
50,Michael Day,0.84
51,Jayesh Mynagappally,1.4
52,Shaji Pattikkara,
53,Zouzhao Cui,0.6
54,Akash Pathak,
55,Atish Tripathi,0.6
56,Hussain Ahmad,0.6
57,Enkhbayar Dambasuren,
58,Tavanbayar Lkhagva,
59,Hiroyuki Machino,0.6
60,Wu Junping,0.6
61,Moussa Fany Traore,
62,Michael Caissie,0.6
63,Rigoberto Castañeda,2.744
64,Hossam Mousa,0.6
65,Kabilan Plondran,3.034
66,Robert Orr,1.533
67,Kel Thompson,0.6
68,Nicholas Joseph Cunha,0.694
69,Valeri Lilov,0.6
70,Benjamin Hobbs,
71,Felix Sumner,
72,Andrew Varghees,
73,Alok Thaker,
74,Yuvaraj Subramani,0.6
75,John Gabito Angel,0.6
76,Jorge Luis Villacorta Santamato,
77,Vincent J. Roth,0.6
78,Ronechia Poole-Daley,
79,Hamza Abdullah,
80,Anders Thomas Jensen,5.664
81,Nikolaj Arcel,2.637
82,Herman Yau,3.272
83,Erica Li,1.4
84,Eric Lee,1.4
85,Dan Sinclair,0.6
86,Hank Braxtan,1.298
87,Arielle Brachfeld,1.534
88,Penny Gibben,2.744
89,Christine Fry,0.6
90,Omer Sarikaya,
91,Sung-Hyun Shin,
92,Paul Dini,3.731
93,Bill Finger,8.459
94,Bob Kane,10.642
95,Briston George,
96,Wu Qiong,0.6
97,Thabiso Christopher,
98,Dimitri Logothetis,0.74
99,Jim McGrath,1.22
100,Anbarasan,0.6
101,Doug Wolfe,1.38
102,Jed Elinoff,1.334
103,Scott Thomas,16.673
104,Savage Steve Holland,8.132
105,Etsuo Hiratani,0.6
106,Jeff Wadlow,2.708
107,Eric Heisserer,2.775
108,Kevin VanHook,1.214
109,Kaan Karaca,3.147
110,Inder Sohi,
111,Vijay Anand,0.6
112,Tarek Boudali,8.732
113,Pierre Dudan,0.6
114,Grégory Boutboul,0.6
115,Benjamin Ruffet,0.6
116,Mingyuan Zhang,0.6
117,Steve Allrich,1.534
118,Mark Williams,10.394
119,Tony Semanik,0.6
120,Oleg Malovichko,1.176
121,Andrey Zolotarev,1.4
122,Stanley Tong,6.259
123,Tiffany Alycia Tong,
124,Ronnie Tyrone Lee,0.6
125,Saeid Malekan,3.623
126,Bahram Tavakoli,0.6
127,Masoud Tosifyan,
128,Jerry Liau,1.96
129,Prashast Singh,1.4
130,David Jon Foster,0.6
131,Anton Damgaard,
132,Kasper Wilche-Lise,
133,Jeremy Adams,1.491
134,Ed Boon,3.13
135,John Tobias,3.086
136,Pushpdeep Bhardwaj,0.6
137,Mahesh Bhatt,2.785
138,Suhrita Sengupta,0.98
139,Ashley Hays Wright,0.6
140,David Owen Wright,0.6
141,Scout Wright,0.6
142,Hong-Seung Yoon,0.6
143,Ricky Espinosa,
144,Julian Rhodes,
145,Richard Lowry,2.192
146,Ian Krahn,
147,Wyatt Pearce,
148,Geoff Meed,3.069
149,Jonah Malak,0.652
150,Akane Shimizu,0.6
151,Yuko Kakihara,2.744
152,Richard Ryan,2.164
153,Dylan Buell,
154,Dylan Hughes,0.6
155,Julianna Langston,
156,Steve Rahaman,0.6
157,Wanly Florexile,0.6
158,Jesse Quinones,0.766
159,Jegan Rajshekar,0.6
160,Rachel Smith,0.6
161,Paddy Duffy,
162,John H. Liu (Writer),
163,Scott Hester,0.6
164,Rohit Dey,0.6
165,Soumya Nandy,0.6
166,R.S. Durai Senthilkumar,
167,Naruhisa Arakawa,2.911
168,Junko Komura,1.751
169,Mark Atkins,1.4
170,Andrea Ruth,0.6
171,Dan Stewart,1.4
172,S. Tynsong,
173,Medhat El Adl,1.127
174,Kristin Alexandre,0.6
175,A. Wayne Carter,0.6
176,Richard L. Gamboa,
177,Latavious Flournoy,0.6
178,Daniel Lambo,0.6
179,B. Shiva Kumar,0.98
180,Christopher Steinberger,
181,Abrid Shine,1.214
182,Leo Sullivan,1.932
183,Alex Zito,2.916
184,Fernando Araujo,0.6
185,Raymelle A. Adams,0.6
186,Chris Hampshire,
187,Robert Rodriguez,7.958
188,Sara Endsley,0.6
189,Dan Foos,0.6
190,Shane Mack,0.6
191,Peque Gallaga,1.346
192,Lore Reyes,0.6
193,Rod Marmol,1.96
194,Marquis Moore,
195,Scott McGuire,0.6
196,Conor Brett,0.6
197,Brittany Wiscombe,3.152
198,Jackson Mulkey,
199,Jesse Herrera (story),
200,Mark Famiglietti,3.336
201,Lane Garrison,10.135
202,Scott C. Newman,0.6
203,Ross Boyask,0.6
204,Yoshihiro Nishimura,4.308
205,Dan Brookman,
206,Mary Brookman,
207,Bernard Sharpe,0.6
208,Billings Siwila,0.6
209,Yuenian Su,0.6
210,Chris Sparling,2.093
211,Chuck Hustmyre,0.6
212,Richard Faria,
213,Ken Lo,10.864
214,K. Raghavendra Rao,0.84
215,Akshay Poolla,0.6
216,Benny Barbash,0.6
217,Uzi Weil,0.6
218,Zachariah Shanahan,
219,Farhad Samji,3.438
220,Lawrence Raghavendra,2.744
221,Sparsh Khetarpal,0.98
222,Li Rou,2.785
223,Fengping Zhou,0.6
224,Corey Fischer,1.4
225,Benjamin Galland,0.6
226,Donna Laemmlen,0.6
227,Isabel Bassett,5.792
228,M.J. Bassett,4.923
229,Mark Middlewick,0.6
230,Read MacGuirtose,0.6
231,Alex Rodzinek,
232,Andrei Sporea,
233,Tolin Eddy,
234,Brad Bode,0.6
235,Fuad C'Amanero,0.6
236,Hector Echavarria,1.108
237,Matthew Baker (screenplay by),
238,Hamish Clarke (story by),
239,Jamie Jarvis (screenplay by),
240,Edward Tracey (story by),
241,Martin Walker (characters),
242,Michiko Jimenez,0.6
243,Kai Lanette,0.6
244,Scot Morrison,0.6
245,Trivikram Srinivas,0.84
246,Jorge Dahlhaus,
247,John Michael Hightower Jr.,
248,Yoshiyuki Tomino,5.121
249,Anurag Kashyap,0.955
250,Vikramaditya Motwane,1.876
251,Avinash Sampath,0.6
252,Floyd Webb,0.6
253,Camden Welker,
254,Irie Welker,
255,J. Matthew Welker,0.6
256,Kevin E. Moore,0.6
257,J. Shawn Harris,0.6
258,Atsuki Tomori,1.698
259,James Kermack,2.744
260,Thijs Meuwese,0.6
261,Kris Patmo,0.6
262,Pat Casey,0.6
263,Josh Miller,1.455
264,Daphne Bonner,0.6
265,Tyler Bonner,
266,David Galán Galindo,2.141
267,Fernando Navarro,1.29
268,Shaarath Vihari,0.6
269,Mitch Chamberlain,0.6
270,Matthew Carter,0.98
271,Lorrisa Julianus,1.646
272,Junko Komura,1.751
273,Theo Cane Garvey,0.6
274,Max Landis,5.859
275,Roseanne Liang,0.652
276,Samtu Palouki,
277,Bingjia Yang,0.6
278,Sachy,0.6
279,Raines Castle (head writer),
280,Raines Castle (story),
281,Stephan Engelhardt,
282,Jos van der Molen,
283,Vincent Paronnaud,2.744
284,Léa Pernollet,1.96
285,Stephen Shields,0.6
286,Spld Mass George Samuels,
287,Plain Ole George,
288,Ben,18.249
289,ObliviousHD,
290,Starwarsstudio100,
291,Mark Burnell,0.6
292,Larry Wright,0.6
293,Ukyô Kodachi,1.4
294,Kinoko Nasu,2.797
295,Chûji Mikasano,0.6
296,Yoshihiro Togashi,4.889
297,Omer Inal,0.6
298,Ozkan Kucuk,0.6
299,James McGrath,4.13
300,Sam Logan Khaleghi,0.6
301,Aaron Russman,1.4
302,J.M. DeMatteis,1.242
303,Ghaz Abu Bakar,2.146
304,Logan McDonald,0.6
305,Yuehua Wang,0.6
306,Luke Sparke,3.164
307,Dale Dye,2.964
308,Felix Williamson,2.744
309,Ruckus Skye,0.6
310,Lane Skye,0.6
311,Nick Morris,1.467
312,Paul W.S. Anderson,9.193
313,Kaname Fujioka,
314,Alex Heerman,0.6
315,BenTinEz,
316,Jaime Marques,1.387
317,Cristian Conti,0.884
318,Manuel Martín,3.063
319,Curtis Everitt,0.6
320,Callan Durlik,0.6
321,Enrico Torino,0.6
322,Alan Delabie,0.98
323,Rocky Her,0.6
324,Sakee Xiong (story editor),
325,Cory M. Miller,0.6
326,Rijesh Bhaskar,0.98
327,Tom Smith,0.75
328,Christopher Grøndahl,0.996
329,Kjetil Indregard,1.62
330,Kristen Danielle,0.6
331,Brigham McNeely,0.6
332,Amardeep Singh Gill,0.98
333,Josh Boone,4.861
334,Knate Lee,0.6
335,Kevin Bernhardt,2.188
336,Jason Miller,1.653
337,Seth Savoy,0.6
338,Robbie Lopez,0.6
339,Bat-Amgalan Lkhagvajav,
340,Emujin Rinchindorj,
341,Satoshi Tajiri,2.744
342,Atsuhiro Tomioka,3.503
343,Tetsuo Yajima,2.255
344,Nobuhiro Mouri,6.198
345,Hu Guan,1.38
346,Rui Ge,0.6
347,Kun Hu,0.6
348,Brian Ulrich,1.566
349,Hans Rodionoff,1.159
350,Akiyoshi Hongo,1.442
351,Jeff Nimoy,0.694
352,Akatsuki Yamatoya,1.854
353,David D. Jones,1.214
354,Alastair Orr,1.38
355,Carl Ellsworth,1.185
356,Alvondo Vinson,0.6
357,Douglas Attal,0.6
358,Melisa Godet,0.6
359,Charlotte Sanson,0.6
360,Barry Gaines,0.6
361,Joseph Sayer,0.6
362,Marlon 'MJ' Jones,
363,Sailesh Kolanu,0.6
364,Yufeng Jiao,
365,Hu Guan,1.38
366,Rui Ge,0.6
367,Ningyu Zhao,0.6
368,C Christian Andersen,2.363
369,Michelle Tipton,
370,Twinkle Agarwal,
371,Anamta-Amaan,
372,Yash eshwari Francis,
373,Anna Rezan (created by),
374,Peyman Ghassemkhani,2.744
375,Mattson Tomlin,2.06
376,Greg Halster,
377,Lin Jian-Feng,
378,Muye Zhang,1.62
379,Joe Roche,1.96
380,Enrico Natale,1.473
381,Luke Boatfield,
382,Bash Dinsmore,
383,Alexander Mason,3.154
384,Samantha Iwowo,0.6
385,Nyaradzo Mutsauri,0.6
386,Nyaradzo Mutsauri,0.6
387,Edward Payson,0.652
388,Addie Anthony,
389,"Carlos ""Los2k6"" Smith II",
390,Louis Robinson,0.6
391,John Jay Wylie,
392,Yang Mo,0.6
393,Rick Jaffa,6.576
394,Amanda Silver,6.287
395,Lauren Hynek,0.652
396,Mike Ford,0.6
